Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
assignment,org.gradle.accessors.dm,LibrariesForLibs.PluginAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,135
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,6,0,6,6,107,6,0,0,1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,18
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitLibraryAccessors,0,0,0,0,16,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,85
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.VersionAccessors,1,0,0,0,18,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,109
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitVersionAccessors,0,0,0,0,11,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,133
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.BundleAccessors,0,0,0,0,8,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,149
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.PluginAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,159
assignment,assignment.user,User,9,0,18,18,78,21,0,0,0.1111111111111111,1,1,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/app/src/main/java/assignment/user/User.java,17
assignment,assignment.user,UsersManager,3,2,4,1,35,9,0,0,0.75,0,2,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/app/src/main/java/assignment/user/UsersManager.java,15
assignment,assignment.cart,Cart,1,0,9,9,39,14,0,0,0.0,2,1,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/app/src/main/java/assignment/cart/Cart.java,6
assignment,assignment.cart,Product,8,0,18,18,69,18,0,0,0.0,1,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/app/src/main/java/assignment/cart/Product.java,3
